Performing system checks...

System check identified no issues (0 silenced).
May 31, 2022 - 16:47:23
Django version 4.0.4, using settings 'GYMGGUN.settings'
Starting development server at http://0:8000/
Quit the server with CONTROL-C.
[31/May/2022 16:50:57] "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
[31/May/2022 16:50:58] "GET /admin/ HTTP/1.1" 200 10341
[31/May/2022 16:50:58] "GET /static/admin/css/base.css HTTP/1.1" 404 179
[31/May/2022 16:50:58] "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
[31/May/2022 16:50:58] "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
[31/May/2022 16:50:58] "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
[31/May/2022 16:50:58] "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
[31/May/2022 16:51:45] "GET /admin/accounts/usersinfo/ HTTP/1.1" 200 11222
[31/May/2022 16:51:45] "GET /static/admin/css/base.css HTTP/1.1" 404 179
[31/May/2022 16:51:45] "GET /static/admin/css/changelists.css HTTP/1.1" 404 179
[31/May/2022 16:51:45] "GET /static/admin/js/vendor/jquery/jquery.min.js HTTP/1.1" 404 179
[31/May/2022 16:51:45] "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
[31/May/2022 16:51:45] "GET /admin/jsi18n/ HTTP/1.1" 200 3343
[31/May/2022 16:51:45] "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
[31/May/2022 16:51:45] "GET /static/admin/js/jquery.init.js HTTP/1.1" 404 179
[31/May/2022 16:51:45] "GET /static/admin/js/core.js HTTP/1.1" 404 179
[31/May/2022 16:51:45] "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 404 179
[31/May/2022 16:51:45] "GET /static/admin/js/actions.js HTTP/1.1" 404 179
[31/May/2022 16:51:45] "GET /static/admin/js/urlify.js HTTP/1.1" 404 179
[31/May/2022 16:51:45] "GET /static/admin/js/prepopulate.js HTTP/1.1" 404 179
[31/May/2022 16:51:45] "GET /static/admin/js/vendor/xregexp/xregexp.min.js HTTP/1.1" 404 179
[31/May/2022 16:51:45] "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
[31/May/2022 16:51:45] "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
[31/May/2022 16:54:26] "GET /admin/accounts/usersinfo/ HTTP/1.1" 302 0
[31/May/2022 16:54:26] "GET /admin/login/?next=/admin/accounts/usersinfo/ HTTP/1.1" 200 2253
[31/May/2022 16:54:26] "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
[31/May/2022 16:54:26] "GET /static/admin/css/base.css HTTP/1.1" 404 179
[31/May/2022 16:54:26] "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
[31/May/2022 16:54:26] "GET /static/admin/css/login.css HTTP/1.1" 404 179
[31/May/2022 16:54:26] "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
[31/May/2022 16:54:35] "POST /admin/login/?next=/admin/accounts/usersinfo/ HTTP/1.1" 302 0
[31/May/2022 16:54:35] "GET /admin/accounts/usersinfo/ HTTP/1.1" 200 11222
[31/May/2022 16:54:35] "GET /static/admin/css/changelists.css HTTP/1.1" 404 179
[31/May/2022 16:54:35] "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
[31/May/2022 16:54:35] "GET /static/admin/js/vendor/jquery/jquery.min.js HTTP/1.1" 404 179
[31/May/2022 16:54:35] "GET /static/admin/css/base.css HTTP/1.1" 404 179
[31/May/2022 16:54:35] "GET /admin/jsi18n/ HTTP/1.1" 200 3343
[31/May/2022 16:54:35] "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
[31/May/2022 16:54:35] "GET /static/admin/js/jquery.init.js HTTP/1.1" 404 179
[31/May/2022 16:54:35] "GET /static/admin/js/actions.js HTTP/1.1" 404 179
[31/May/2022 16:54:35] "GET /static/admin/js/urlify.js HTTP/1.1" 404 179
[31/May/2022 16:54:35] "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 404 179
[31/May/2022 16:54:35] "GET /static/admin/js/core.js HTTP/1.1" 404 179
[31/May/2022 16:54:35] "GET /static/admin/js/vendor/xregexp/xregexp.min.js HTTP/1.1" 404 179
[31/May/2022 16:54:35] "GET /static/admin/js/prepopulate.js HTTP/1.1" 404 179
[31/May/2022 16:54:35] "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
[31/May/2022 16:54:35] "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
